Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0zHgtaaO1T7AQh4TA9AK1b,"Ramblings of a Lunatic","I Want to Feel Chaotic","Bears In Trees",2020-06-05,212013,44,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T05:33:18Z,"","Counter Intuitive Records",0.701,0.376,4,-10.883,0,0.0447,0.799,0,0.126,0.673,111.922,4
spotify:track:5G0GAvpivaEavBXIjA2Ktm,"Me Want Bite","Me Want Bite","Keyes.",2021-01-06,142947,30,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T05:33:36Z,"","None",0.614,0.34,6,-7.785,1,0.0332,0.593,0.00000105,0.258,0.309,154.741,4
spotify:track:4pRfzrPuKvtqYGwOJ5F6ZZ,"The Family Jewels","The Family Jewels","MARINA",2010-02-15,245533,54,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T05:42:05Z,"","679 Recordings UK. Ltd.",0.775,0.552,2,-5.271,0,0.0326,0.682,0,0.143,0.517,111.929,4
spotify:track:0W2iJncFrUfRf9HOkGYryg,"Saint Bernard 2","Saint Bernard","Lincoln",2020-09-18,149200,0,false,69oh5k00ex7bpgk11ozuiftdn,2022-08-05T16:09:12Z,"midwest emo","I Surrender Records",0.263,0.477,0,-6.925,1,0.0348,0.139,0.00187,0.149,0.287,108.175,3
spotify:track:1swu0WepGzSW0VBt0KX3JY,"putting a spin on low","putting a spin on low","Egg",2021-10-15,197507,14,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T05:47:11Z,"","egg music",0.744,0.0874,4,-17.088,0,0.0508,0.983,0,0.0875,0.213,120.094,4
spotify:track:0frg99CmmIkDNRm15gMoGY,"Marsha, Thankk You for the Dialectics, but I Need You to Leave","The Normal Album","Will Wood",2020-07-10,319768,44,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T06:03:51Z,"","Will Wood",0.306,0.832,0,-7.766,1,0.0826,0.132,0.00000782,0.0872,0.326,166.995,4
spotify:track:4HAKeNeh6pY1y0uHyrUyUU,"The Fall","Pebble Brain","Lovejoy",2021-10-14,184497,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T06:05:21Z,"","Anvil Cat Records",0.793,0.48,8,-10.335,0,0.305,0.0102,0.0123,0.153,0.242,132.058,4
spotify:track:6letGsy9pQEAiVt0VLJIWg,"It's All Futile! It's All Pointless!","Pebble Brain","Lovejoy",2021-10-14,220386,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T06:09:23Z,"","Anvil Cat Records",0.543,0.529,9,-8.919,1,0.0769,0.00872,0.0484,0.0857,0.453,165.202,4
spotify:track:1jas4QjqGPF9jIYukRMKke,"Oh Yeah, You Gonna Cry?","Pebble Brain","Lovejoy",2021-10-14,169642,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T06:14:50Z,"","Anvil Cat Records",0.711,0.696,5,-6.927,0,0.0515,0.00885,0.0000215,0.0755,0.734,110.904,4
spotify:track:1foMv2HQwfQ2vntFf9HFeG,"Rhinestone Eyes","Plastic Beach","Gorillaz",2010-03-03,200173,79,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T17:37:30Z,"","Parlophone UK",0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,4
spotify:track:4PtJNlcpEGyNAkYy44m5fI,"otherside","Minecraft: Caves & Cliffs (Original Game Soundtrack)","Lena Raine;Minecraft",2021-10-20,195272,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-21T23:36:48Z,"","Mojang Studios",0.555,0.924,7,-5.411,1,0.0438,0.0993,0.572,0.112,0.538,91.983,4
spotify:track:4b23sVBRBuOwKTtAgHiFgR,"Beads","Beads","Prince Cornelius",2021-07-27,110695,21,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-25T03:12:20Z,"","739801 Records DK",0.703,0.588,7,-9.536,0,0.0393,0.335,0.0000108,0.103,0.592,140.252,4
spotify:track:7mwLAX3759PkyzwuH7c14Q,"I'm a Libra","I'm a Libra","Prince Cornelius",2021-08-22,133141,9,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-25T03:12:25Z,"","739801 Records DK",0.737,0.394,7,-9.227,0,0.029,0.805,0,0.0851,0.79,89.965,4
spotify:track:0ChK22PF8849AQp2nIbExv,"X-Ray Fairy","X-Ray Fairy","Prince Cornelius",2021-08-29,100536,7,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-25T03:12:30Z,"","739801 Records DK",0.735,0.447,9,-9.653,1,0.0406,0.873,0,0.261,0.828,105.039,4
spotify:track:05JZ5FjuflMEY9uq5ogBYF,"Prisencolinensinainciusol","Super Best","Adriano Celentano",1992,229067,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-26T05:13:43Z,"italian singer-songwriter","Azzurri LTD",0.787,0.638,8,-12.127,1,0.0673,0.332,0.0000118,0.181,0.4,107.488,4
